price,rating,os,sim_type,network_type,NFC,chipset,core_type,clock_ghz,ram_gb,storage_gb,battery_mah,screen_size_in,display_type,rear_camera,front_camera,company_name,resx,resy,ppi,performance_score
59999,8.8,Andriod,Dual,5g,True,Snapdragon,Octa Core,3.2,8,8,5000.0,6.78,Punch Hole,50,16,iqoo,1440,3200,517.5625297807978,25.6
15990,7.8,Andriod,Dual,5g,False,Snapdragon,Octa Core,2.2,4,4,5000.0,6.58,Water Drop Notch,50,16,vivo,1080,2408,401.07946472241093,8.8
19999,8.3,Andriod,Dual,5g,False,Snapdragon,Octa Core,2.4,6,6,5200.0,6.67,Punch Hole,108,32,xiaomi,1080,2400,394.57353282389164,14.399999999999999
23990,8.3,Andriod,Dual,5g,False,Other,Octa Core,2.9,8,8,4400.0,6.55,Punch Hole,50,32,motorola,1080,2460,410.1730658425303,23.2
12999,8.0,Andriod,Dual,5g,False,Dimensity,Octa Core,2.4,8,8,5000.0,6.6,Punch Hole,50,8,realme,1080,2408,399.8640724050703,19.2
19990,8.2,Andriod,Dual,5g,False,Other,Octa Core,2.4,8,8,4310.0,6.43,Punch Hole,48,16,oppo,1080,2400,409.3010052776606,19.2
58990,8.0,Andriod,Dual,5g,True,Snapdragon,Octa Core,3.2,8,8,4820.0,6.73,Punch Hole,50,32,xiaomi,1440,3200,521.4077194522747,25.6
43999,8.7,Andriod,Dual,5g,False,Other,Octa Core,3.2,12,12,5000.0,6.73,Punch Hole,108,32,vivo,1080,2400,391.0557895892061,38.400000000000006
49999,8.6,Andriod,Dual,5g,True,Snapdragon,Octa Core,3.0,8,8,3700.0,6.1,Punch Hole,50,10,samsung,1080,2340,422.4930805556957,24.0
15999,7.9,Andriod,Dual,4g,False,Snapdragon,Octa Core,2.4,6,6,5000.0,6.44,Water Drop Notch,50,16,vivo,1080,2408,409.7985835207242,14.399999999999999
36999,8.7,Andriod,Dual,5g,True,Other,Octa Core,2.85,12,12,5000.0,6.7,Punch Hole,50,16,oneplus,1080,2412,394.44076267485747,34.2
39999,8.5,Andriod,Dual,5g,True,Other,Octa Core,3.05,8,8,5160.0,6.8,Punch Hole,64,32,tecno,1080,2400,387.03021528461136,24.4
22999,8.2,Andriod,Dual,5g,False,Other,Octa Core,2.85,6,6,5080.0,6.6,Punch Hole,64,16,xiaomi,1080,2460,407.0656941316021,17.1
31999,8.7,Andriod,Dual,5g,True,Other,Octa Core,2.4,6,6,5000.0,6.5,Punch Hole,64,32,samsung,1080,2400,404.89314829774725,14.399999999999999
6171,8.0,Andriod,Dual,4g,False,Helio,Quad Core,2.0,2,2,5000.0,6.52,Water Drop Notch,8,5,xiaomi,720,1600,269.1007631835743,4.0
29340,8.3,Andriod,Dual,5g,True,Other,Octa Core,3.0,8,8,4500.0,6.43,Punch Hole,50,32,oppo,1080,2400,409.3010052776606,24.0
25289,8.7,Andriod,Dual,5g,False,Other,Octa Core,2.4,8,8,5000.0,6.7,Punch Hole,108,32,samsung,1080,2400,392.8067856619936,19.2
21788,7.8,Andriod,Dual,5g,False,Other,Octa Core,2.4,6,6,4700.0,6.44,Water Drop Notch,64,16,iqoo,1080,2404,409.23193495914916,14.399999999999999
70990,8.8,Andriod,Dual,5g,True,Snapdragon,Octa Core,3.2,8,8,3900.0,6.1,Punch Hole,50,12,samsung,1080,2340,422.4930805556957,25.6
34999,8.9,Andriod,Dual,5g,True,Snapdragon,Octa Core,3.0,8,8,4800.0,6.7,Punch Hole,50,60,motorola,1080,2400,392.8067856619936,24.0
33900,8.5,Andriod,Dual,5g,True,Other,Octa Core,3.0,12,12,4500.0,6.43,Punch Hole,50,32,oneplus,1080,2400,409.3010052776606,36.0
18999,8.4,Andriod,Dual,5g,False,Dimensity,Octa Core,2.4,8,8,5000.0,6.7,Punch Hole,108,16,infinix,1080,2400,392.8067856619936,19.2
19499,8.4,Andriod,Dual,5g,True,Other,Octa Core,2.4,8,8,6000.0,6.6,Water Drop Notch,50,8,samsung,1080,2400,398.7584036265693,19.2
24994,8.3,Andriod,Dual,5g,False,Dimensity,Octa Core,2.5,8,8,4200.0,6.44,Small Notch,64,50,vivo,1080,2400,408.66544471045916,20.0
10999,7.8,Andriod,Dual,4g,True,Snapdragon,Octa Core,2.4,4,4,5000.0,6.47,Punch Hole,50,16,motorola,1080,2400,406.7705508400861,9.6
24999,8.5,Andriod,Dual,5g,False,Snapdragon,Octa Core,2.2,8,8,5000.0,6.59,Punch Hole,64,16,oneplus,1080,2412,401.0247511261829,17.6
25999,8.2,Andriod,Dual,5g,True,Other,Octa Core,2.4,6,6,5000.0,6.4,Punch Hole,48,13,samsung,1080,2400,411.2196037398995,14.399999999999999
13466,7.4,Andriod,Dual,5g,False,Dimensity,Octa Core,2.2,4,4,5000.0,6.58,Water Drop Notch,50,5,xiaomi,1080,2408,401.07946472241093,8.8
9999,7.6,Andriod,Dual,4g,False,Other,Octa Core,2.3,4,4,5020.0,6.67,Punch Hole,48,16,xiaomi,1080,2400,394.57353282389164,9.2
7999,7.1,Andriod,Dual,4g,False,Other,Octa Core,1.8,4,4,5000.0,6.5,Punch Hole,48,8,motorola,720,1600,269.92876553183146,7.2
28249,8.6,Andriod,Dual,5g,True,Other,Octa Core,2.5,8,8,4500.0,6.55,Punch Hole,50,16,other,1080,2400,401.8023609061614,20.0
16499,8.2,Andriod,Dual,5g,False,Other,Octa Core,2.2,6,6,5000.0,6.67,Punch Hole,64,16,poco,1080,2400,394.57353282389164,13.200000000000001
22999,8.7,Andriod,Dual,5g,False,Other,Octa Core,2.2,8,8,5000.0,6.67,Punch Hole,108,16,xiaomi,1080,2400,394.57353282389164,17.6
46999,7.5,IOS,Dual,4g,True,Other,Hexa Core,2.65,4,4,3110.0,6.1,Large Notch,12,12,apple,828,1792,323.613699324913,10.6
13999,7.4,Andriod,Dual,4g,False,Other,Octa Core,1.8,6,6,5000.0,6.6,Water Drop Notch,50,8,realme,1080,2408,399.8640724050703,10.8
13490,7.8,Andriod,Dual,4g,False,Snapdragon,Octa Core,2.4,6,6,5000.0,6.59,Punch Hole,50,16,oppo,1080,2412,401.0247511261829,14.399999999999999
28999,8.2,Andriod,Dual,5g,False,Snapdragon,Octa Core,3.2,8,8,4700.0,6.62,Punch Hole,64,16,iqoo,1080,2400,397.5536954585132,25.6
15499,7.8,Andriod,Dual,5g,False,Other,Octa Core,2.2,4,4,5000.0,6.58,Water Drop Notch,50,16,iqoo,1080,2408,401.07946472241093,8.8
39999,8.6,Andriod,Dual,5g,True,Other,Octa Core,2.85,16,16,4500.0,6.7,Punch Hole,50,32,oppo,1080,2412,394.44076267485747,45.6
12999,7.6,Andriod,Dual,5g,False,Dimensity,Octa Core,2.4,4,4,5000.0,6.6,Punch Hole,50,16,poco,1080,2400,398.7584036265693,9.6
14999,6.9,Andriod,Dual,4g,False,Other,Octa Core,1.8,4,4,6000.0,6.52,Punch Hole,13,8,oneplus,720,1560,263.5181790787059,7.2
8499,6.8,Andriod,Dual,4g,False,Helio,Octa Core,2.3,4,4,5000.0,6.5,Water Drop Notch,13,5,samsung,720,1600,269.92876553183146,9.2
24990,8.3,Andriod,Dual,5g,True,Snapdragon,Octa Core,3.2,8,8,4400.0,6.62,Punch Hole,48,16,iqoo,1080,2400,397.5536954585132,25.6
16999,8.4,Andriod,Dual,5g,True,Other,Octa Core,2.4,6,6,6000.0,6.5,Punch Hole,64,32,samsung,1080,2400,404.89314829774725,14.399999999999999
9589,7.1,Andriod,Dual,4g,False,Snapdragon,Octa Core,2.4,4,4,6000.0,6.7,Water Drop Notch,50,5,xiaomi,720,1600,261.871190441329,9.6
19988,7.9,Andriod,Dual,5g,False,Other,Octa Core,2.0,6,6,5000.0,6.67,Punch Hole,48,13,xiaomi,1080,2400,394.57353282389164,12.0
11999,7.5,Andriod,Dual,4g,True,Snapdragon,Octa Core,2.4,4,4,5000.0,6.6,Punch Hole,50,16,motorola,2460,1080,407.0656941316021,9.6
30990,8.7,Andriod,Dual,5g,True,Snapdragon,Octa Core,3.0,8,8,5000.0,6.7,Water Drop Notch,108,16,oppo,1080,2412,394.44076267485747,24.0
19499,8.5,Andriod,Dual,5g,False,Dimensity,Octa Core,2.6,8,8,5000.0,6.78,Punch Hole,50,16,infinix,1080,2460,396.2586403050993,20.8
5299,8.0,Andriod,Dual,4g,False,Other,Octa Core,1.82,2,2,5000.0,6.5,Water Drop Notch,8,5,realme,720,1600,269.92876553183146,3.64
25969,8.2,Andriod,Dual,5g,False,Other,Octa Core,2.2,8,8,4500.0,6.43,Punch Hole,64,16,oppo,1080,2400,409.3010052776606,17.6
28999,8.2,Andriod,Dual,5g,False,Snapdragon,Octa Core,3.0,6,6,5000.0,6.4,Punch Hole,64,32,realme,1080,2400,411.2196037398995,18.0
14999,8.1,Andriod,Dual,4g,False,Snapdragon,Octa Core,2.4,6,6,5000.0,6.4,Punch Hole,108,16,realme,1080,2400,411.2196037398995,14.399999999999999
14999,7.4,Andriod,Dual,4g,False,Helio,Octa Core,2.2,4,4,5000.0,6.4,Punch Hole,50,16,other,1080,2400,411.2196037398995,8.8
129900,8.4,IOS,Dual,5g,True,Bionic,Hexa Core,3.22,6,6,4352.0,6.7,Small Notch,12,12,apple,1284,2778,456.7734819486999,19.32
58990,8.8,Andriod,Dual,5g,True,Snapdragon,Octa Core,3.2,12,12,4700.0,6.73,Punch Hole,64,32,oppo,1080,2412,392.6824829006753,38.400000000000006
41990,8.8,Andriod,Dual,5g,True,Other,Octa Core,3.05,8,8,4810.0,6.78,Punch Hole,50,32,vivo,1260,2800,452.8672135581981,24.4
10999,7.4,Andriod,Dual,4g,True,Other,Octa Core,2.0,4,4,6000.0,6.6,Water Drop Notch,50,8,samsung,2408,1080,399.8640724050703,8.0
11999,7.9,Andriod,Dual,4g,False,Helio,Octa Core,2.05,6,6,5000.0,6.43,Punch Hole,64,13,xiaomi,1080,2400,409.3010052776606,12.299999999999999
16999,7.9,Andriod,Dual,4g,False,Helio,Octa Core,2.2,8,8,5000.0,6.4,Punch Hole,50,16,realme,1080,2400,411.2196037398995,17.6
30990,8.3,Andriod,Dual,5g,True,Other,Octa Core,2.84,8,8,4500.0,6.62,Punch Hole,48,16,iqoo,1080,2400,397.5536954585132,22.72
17999,7.5,Andriod,Dual,5g,False,Other,Octa Core,2.4,4,4,5000.0,6.6,Water Drop Notch,50,8,infinix,1080,2408,399.8640724050703,9.6
5499,8.0,Andriod,Dual,4g,False,Other,Quad Core,2.0,4,4,4000.0,6.54,Small Notch,8,5,other,720,1560,262.7123130876395,8.0
20499,8.3,Andriod,Dual,5g,False,Other,Octa Core,2.36,6,6,5200.0,6.67,Punch Hole,108,32,xiaomi,1080,2460,402.79364037010095,14.16
20490,8.1,Andriod,Dual,5g,False,Dimensity,Octa Core,2.5,6,6,5000.0,6.4,Punch Hole,48,16,realme,1080,2400,411.2196037398995,15.0
15490,7.7,Andriod,Dual,5g,False,Other,Octa Core,2.0,6,6,5000.0,6.5,Punch Hole,48,8,oppo,1080,2400,404.89314829774725,12.0
29990,6.1,IOS,Single,4g,True,Other,Hexa Core,2.65,3,3,2050.0,4.7,Large Notch,12,7,apple,750,1334,325.6122832234166,7.949999999999999
15499,7.9,Andriod,Dual,5g,False,Other,Octa Core,2.0,6,6,5000.0,6.58,Water Drop Notch,50,8,iqoo,1080,2408,401.07946472241093,12.0
11999,8.0,Andriod,Dual,4g,False,Helio,Octa Core,2.05,6,6,5000.0,6.43,Punch Hole,64,13,xiaomi,1080,2400,409.3010052776606,12.299999999999999
